name,in_tuebingen,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Jan Schneider 0007,yes,no,Doctoral Researcher,"Max Planck Institute for Intelligent Systems, Empirical Inference department",,https://is.mpg.de/person/jschneider,2026-08-06,high,"ELLIS PhD student co-supervised by Dieter Büchler and Bernhard Schölkopf (MPI-IS) and Ingmar Posner (Oxford). Works inside Büchler/Schölkopf's group, not an independent PI."
Yuxuan Xue 0001,yes,no,"Ph.D. student in the Real Virtual Human group at University of Tübingen, supervised by Prof. Dr. Gerard Pons-Moll","University of Tübingen, Real Virtual Humans group (PI: Gerard Pons-Moll); IMPRS-IS",,https://yuxuan-xue.com/,2026-08-06,high,Group staff page current through 2026-06 (ECCV 2026 acceptance noted). Did a Research Scientist internship at Meta Codec Avatars mid-2025 but remains a PhD student under Pons-Moll.
Steffen Schneider 0001,no,yes,Group Leader (Tenure Track) / Principal Investigator,"Helmholtz Munich (Dynamical Inference Lab); Associate Faculty, Munich Center for Machine Learning (MCML) and Graduate School of Systemic Neurosciences (GSN), LMU Munich",Munich,https://dynamical-inference.ai/authors/steffen-schneider/,2026-08-06,high,ELLIS PhD jointly with Matthias Bethge (Tübingen) and Mackenzie Mathis (EPFL) explains DBLP's Tübingen affiliation. Now an independent tenure-track Group Leader/PI at Helmholtz Munich (elected Die Junge Akademie/Leopoldina June 2026); has left Tübingen.
Bernhard Jaeger,yes,unclear,"co-founder of KE:SAI, ""a private non-profit open science AI research lab where I also work"" (own homepage, re-fetched); official launch lists him among co-founders, distinct from CEO Andreas Geiger and Scientific Director Bernhard Schölkopf",KE:SAI (Kyutai ELLIS Scalable Autonomous Intelligence — a collaboration between Kyutai and ELLIS Institut Tübingen),,https://kait0.github.io/,2026-08-06,medium,"Left PhD-candidate status when KE:SAI launched ~20 May 2026, a lab outside the directories already collected. Self-hosted CV (Dec 2025) is stale, still listing 'Research Associate, Ph.D. Candidate.' As a co-founder under a more senior CEO and Scientific Director, independent-PI status is unclear rather than confirmed."
Jonathan Schmidt 0001,yes,no,"Post Doc (Univ. Tübingen group personnel page); ""Postdoctoral Researcher in Machine Learning"" (own homepage)","University of Tübingen, Chair for Methods of Machine Learning (Prof. Philipp Hennig)",,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/methoden-des-maschinellen-lernens/personen/,2026-08-06,high,One of two postdocs on Hennig's group page; no own students or PI grant found; 2026-dated PhD thesis under Hennig on his DBLP page.
Guy Moss 0001,no,no,"Research and Development Engineer (LinkedIn headline: ""Research and Development Engineer | PhD Machine Learning"")",Pupil Labs,Berlin,https://www.linkedin.com/in/guy-moss-532619221/,2026-08-06,medium,"PhD thesis defended 19 Dec 2025 (advisor Jakob Macke), explaining absence from directories. Industry engineering post, not academic; confidence medium since sourced from a LinkedIn snippet (Pupil Labs' public staff page doesn't list individual engineers)."
Muhammad Waleed Gondal,yes,no,Applied Scientist,Amazon (Amazon Research / Amazon Development Center Germany),,https://www.amazon.science/author/muhammad-waleed-gondal,2026-08-06,high,"Bernhard Schölkopf's own MPI-IS alumni page lists him as 'Amazon Research, Tübingen.' Individual-contributor scientist role at Amazon's Tübingen office, not a PI/group leader; only post is industry. DBLP's MPI-IS tag and his GitHub bio are both stale, reflecting his PhD-era employer."
Michael Tiemann 0001,yes,no,Researcher,"Tübingen AI Center, ML Engineering & Tech Transfer group (led by Prof. Peter Gehler)",,https://gehler.tuebingen.ai/team,2026-08-06,high,"One of 3 researchers listed under Gehler's group, not an own-group PI. Also holds industry side roles (Researcher at minerva4ai.eu, COO at DenkBox); University of Tübingen FIT record is stale (still lists Robert Bosch GmbH, Stuttgart)."
Chris Gagne 0001,no,no,"Staff Research Scientist (Google Scholar profile, re-checked 2026-08)",Google DeepMind,"unclear (possibly Mountain View, CA, per broader Hume AI-Google licensing-deal reporting; not stated on his own profile)",https://scholar.google.com/citations?hl=en&user=E6DqS3UAAAAJ,2026-08-06,medium,"Formerly Peter Dayan postdoc at MPI for Biological Cybernetics, Tübingen (left ~Sept 2022 for Hume AI). Re-fetching Google Scholar now clearly reads 'Staff Research Scientist, Google DeepMind', resolving the earlier Hume-AI-vs-DeepMind contradiction from stale data-broker pages. Left Tübingen for industry years ago either way; not a PI."
Shashank Singh 0011,no,no,Senior Machine Learning Software Engineer,"Meta Platforms, Inc.",New York City,https://sss1.github.io/CV.pdf,2026-08-06,high,Postdoc under Bernhard Schölkopf at MPI-IS Tübingen 2021-2024 ended; has since left academia and Germany entirely for a US industry role.
Leena C. Vankadara,no,yes,Lecturer (Assistant Professor) (own homepage); Lecturer (UCL Gatsby Unit people directory),"Gatsby Computational Neuroscience Unit, University College London (UCL)",London,https://leenacvankadara.com/,2026-08-06,high,"PhD jointly supervised by Ulrike von Luxburg (Tübingen) and Debarghya Ghoshdastidar. Brief spell as Applied Scientist at Amazon, then joined UCL as Lecturer Feb 2025 with own advisees. No longer any Tübingen or MPI-IS affiliation."
Harrisen Scells,yes,yes,"W1-Juniorprofessur für Humansprachliche Technologien (Univ. Tübingen newsletter); ""Jun.-Prof. Dr. Harry Scells (kooptiert)"" (CS dept. research-groups page); ""I am an Assistant Professor at the University of Tübingen in the Health NLP lab"" (own homepage, re-checked)","University of Tübingen — Dept. of Information Technology and Applied Medical Informatics (IBMI), Medical Faculty, Health NLP Lab",,https://scells.me/,2026-08-06,high,"W1-Juniorprofessur took effect 17 March 2025, a German PI-track appointment titles.csv counts as independent (counts_as_pi=yes) irrespective of sitting inside the joint Health NLP Lab, whose overall director is Carsten Eickhoff. Ruled independent on the title, per project policy, not on lab headship."
Ilia A. Petrov 0001,yes,no,"PhD candidate (own homepage, spelled ""Ilya A. Petrov""); ""PhD student, University of Tübingen"" (Google Scholar)","University of Tübingen / Tübingen AI Center, Real Virtual Humans group (supervised by Prof. Gerard Pons-Moll)",,https://ptrvilya.github.io/,2026-08-06,high,"Exact DBLP disambiguation id given in the task, 'Ilia A. Petrov 0001' (dblp.org/pid/131/3876.html), matches this CV PhD candidate — NOT 'Ilia Petrov 0001' (no middle initial), a separate DBLP entity: the Reutlingen/TU Darmstadt/Erlangen-Nuremberg database-systems professor, who is never listed as Tübingen on DBLP."
